Conventions,G,BADC-CSV,1
title,G,uk-mean-wind-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-202407
history,G,Created 2024-07-24
last_revised_date,G,2024-07-24
observation_station,G,cairnwell
historic_county_name,G,aberdeenshire
authority,G,Met Office
midas_station_id,G,00145
location,G,56.879,-3.421
height,G,928,m
date_valid,G,1994-01-01 00:00:00,1994-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_end_time,t
long_name,ob_end_time,Date at end of observation period,s
type,ob_end_time,char
comments,ob_end_time,Date and time (YYYY-MM-DD HH:MM:SS) at the end of the observation period
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,ob_hour_count,Observation hour count,hours
type,ob_hour_count,int
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,mean_wind_dir,Mean wind direciton,deg true
type,mean_wind_dir,int
long_name,mean_wind_speed,Mean wind speed,knots
type,mean_wind_speed,float
long_name,max_gust_dir,Direction of maximum wind gust,deg true
type,max_gust_dir,int
long_name,max_gust_speed,Speed of maximum wind gust,knots
type,max_gust_speed,float
long_name,max_gust_ctime,Clock time of maximum gust HHMM,s
type,max_gust_ctime,char
long_name,mean_wind_dir_q,QC code: Mean wind direction,1
type,mean_wind_dir_q,int
long_name,mean_wind_speed_q,QC code: Mean wind speed,1
type,mean_wind_speed_q,int
long_name,max_gust_dir_q,QC code: Direction of maximum wind gust,1
type,max_gust_dir_q,int
long_name,max_gust_speed_q,QC code: Speed of maximum wind gust,1
type,max_gust_speed_q,int
long_name,max_gust_ctime_q,QC code: Clock time of maximum gust HHMM,1
type,max_gust_ctime_q,int
long_name,mean_wind_dir_j,Descriptor: Mean wind direction,1
type,mean_wind_dir_j,char
long_name,mean_wind_speed_j,Descriptor: Mean wind speed,1
type,mean_wind_speed_j,char
long_name,max_gust_dir_j,Descriptor: Direction of maximum wind gust,1
type,max_gust_dir_j,char
long_name,max_gust_speed_j,Descriptor: Speed of maximum wind gust,1
type,max_gust_speed_j,char
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS,minutes
type,midas_stmp_etime,int
data
ob_end_time,id_type,id,ob_hour_count,met_domain_name,version_num,src_id,rec_st_ind,mean_wind_dir,mean_wind_speed,max_gust_dir,max_gust_speed,max_gust_ctime,mean_wind_dir_q,mean_wind_speed_q,max_gust_dir_q,max_gust_speed_q,max_gust_ctime_q,mean_wind_dir_j,mean_wind_speed_j,max_gust_dir_j,max_gust_speed_j,meto_stmp_time,midas_stmp_etime
1994-01-01 22:00:00,WIND,121001,1,HCM,1,145,1001,170.0,27.0,160.0,42.0,2154.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-01 23:00:00,WIND,121001,1,HCM,1,145,1001,170.0,30.0,140.0,52.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-02 00:00:00,WIND,121001,1,HCM,1,145,1001,150.0,35.0,150.0,51.0,2348.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-02 01:00:00,WIND,121001,1,HCM,1,145,1001,150.0,38.0,150.0,60.0,36.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-02 02:00:00,WIND,121001,1,HCM,1,145,1001,150.0,38.0,150.0,57.0,142.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-02 03:00:00,WIND,121001,1,HCM,1,145,1001,150.0,46.0,140.0,67.0,242.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-02 04:00:00,WIND,121001,1,HCM,1,145,1001,140.0,46.0,150.0,69.0,312.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-02 05:00:00,WIND,121001,1,HCM,1,145,1001,130.0,42.0,150.0,55.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-02 06:00:00,WIND,121001,1,HCM,1,145,1001,120.0,38.0,110.0,48.0,536.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-02 07:00:00,WIND,121001,1,HCM,1,145,1001,120.0,32.0,110.0,40.0,630.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-02 08:00:00,WIND,121001,1,HCM,1,145,1001,110.0,30.0,110.0,38.0,724.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-02 09:00:00,WIND,121001,1,HCM,1,145,1001,110.0,30.0,110.0,38.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-02 10:00:00,WIND,121001,1,HCM,1,145,1001,110.0,26.0,110.0,29.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-02 11:00:00,WIND,121001,1,HCM,1,145,1001,130.0,16.0,NA,NA,NA,9,9,0,0,0,NA,NA,NA,NA,NA,NA
1994-01-02 12:00:00,WIND,121001,1,HCM,1,145,1001,130.0,11.0,150.0,12.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-02 13:00:00,WIND,121001,1,HCM,1,145,1001,150.0,9.0,150.0,11.0,1242.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-02 14:00:00,WIND,121001,1,HCM,1,145,1001,150.0,10.0,180.0,12.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-02 15:00:00,WIND,121001,1,HCM,1,145,1001,150.0,10.0,170.0,12.0,1436.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-02 16:00:00,WIND,121001,1,HCM,1,145,1001,160.0,10.0,170.0,14.0,1524.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-02 17:00:00,WIND,121001,1,HCM,1,145,1001,160.0,10.0,220.0,15.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-02 18:00:00,WIND,121001,1,HCM,1,145,1001,220.0,13.0,220.0,15.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-02 19:00:00,WIND,121001,1,HCM,1,145,1001,220.0,13.0,230.0,21.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-02 20:00:00,WIND,121001,1,HCM,1,145,1001,220.0,13.0,230.0,25.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-02 21:00:00,WIND,121001,1,HCM,1,145,1001,230.0,14.0,230.0,23.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-02 22:00:00,WIND,121001,1,HCM,1,145,1001,220.0,17.0,240.0,23.0,2148.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-02 23:00:00,WIND,121001,1,HCM,1,145,1001,230.0,14.0,240.0,26.0,2230.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 00:00:00,WIND,121001,1,HCM,1,145,1001,230.0,19.0,230.0,29.0,2348.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 01:00:00,WIND,121001,1,HCM,1,145,1001,200.0,41.0,200.0,53.0,12.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 02:00:00,WIND,121001,1,HCM,1,145,1001,180.0,17.0,210.0,20.0,154.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 03:00:00,WIND,121001,1,HCM,1,145,1001,200.0,16.0,220.0,25.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-03 04:00:00,WIND,121001,1,HCM,1,145,1001,200.0,16.0,220.0,25.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-03 05:00:00,WIND,121001,1,HCM,1,145,1001,200.0,16.0,200.0,32.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-03 06:00:00,WIND,121001,1,HCM,1,145,1001,200.0,19.0,200.0,36.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-03 07:00:00,WIND,121001,1,HCM,1,145,1001,190.0,24.0,180.0,33.0,612.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 08:00:00,WIND,121001,1,HCM,1,145,1001,200.0,25.0,180.0,30.0,736.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 09:00:00,WIND,121001,1,HCM,1,145,1001,180.0,23.0,190.0,29.0,812.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 10:00:00,WIND,121001,1,HCM,1,145,1001,170.0,22.0,150.0,27.0,942.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 11:00:00,WIND,121001,1,HCM,1,145,1001,170.0,21.0,150.0,35.0,1042.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 12:00:00,WIND,121001,1,HCM,1,145,1001,150.0,26.0,160.0,35.0,1118.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 13:00:00,WIND,121001,1,HCM,1,145,1001,150.0,29.0,140.0,41.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-03 14:00:00,WIND,121001,1,HCM,1,145,1001,130.0,29.0,140.0,54.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-03 15:00:00,WIND,121001,1,HCM,1,145,1001,130.0,31.0,130.0,59.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-03 16:00:00,WIND,121001,1,HCM,1,145,1001,120.0,38.0,140.0,65.0,1536.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 17:00:00,WIND,121001,1,HCM,1,145,1001,120.0,40.0,150.0,62.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-03 18:00:00,WIND,121001,1,HCM,1,145,1001,130.0,38.0,150.0,75.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-03 19:00:00,WIND,121001,1,HCM,1,145,1001,130.0,41.0,140.0,64.0,1818.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 20:00:00,WIND,121001,1,HCM,1,145,1001,140.0,40.0,130.0,67.0,1948.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 21:00:00,WIND,121001,1,HCM,1,145,1001,130.0,40.0,130.0,60.0,2000.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-03 22:00:00,WIND,121001,1,HCM,1,145,1001,130.0,40.0,130.0,60.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-04 00:00:00,WIND,121001,1,HCM,1,145,1001,NA,NA,150.0,23.0,NA,0,0,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-04 01:00:00,WIND,121001,1,HCM,1,145,1001,160.0,14.0,150.0,16.0,42.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-04 02:00:00,WIND,121001,1,HCM,1,145,1001,150.0,12.0,150.0,13.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-04 03:00:00,WIND,121001,1,HCM,1,145,1001,160.0,11.0,150.0,13.0,200.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-04 04:00:00,WIND,121001,1,HCM,1,145,1001,160.0,10.0,170.0,13.0,324.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-04 05:00:00,WIND,121001,1,HCM,1,145,1001,160.0,10.0,140.0,13.0,430.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-04 06:00:00,WIND,121001,1,HCM,1,145,1001,140.0,10.0,120.0,13.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-04 07:00:00,WIND,121001,1,HCM,1,145,1001,140.0,10.0,120.0,13.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-04 08:00:00,WIND,121001,1,HCM,1,145,1001,140.0,10.0,150.0,14.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-04 10:00:00,WIND,121001,1,HCM,1,145,1001,140.0,10.0,150.0,14.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-04 16:00:00,WIND,121001,1,HCM,1,145,1001,130.0,10.0,150.0,12.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-04 17:00:00,WIND,121001,1,HCM,1,145,1001,130.0,10.0,140.0,12.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-04 18:00:00,WIND,121001,1,HCM,1,145,1001,130.0,10.0,150.0,14.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-04 19:00:00,WIND,121001,1,HCM,1,145,1001,140.0,11.0,150.0,15.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-04 20:00:00,WIND,121001,1,HCM,1,145,1001,150.0,12.0,150.0,17.0,1912.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-04 21:00:00,WIND,121001,1,HCM,1,145,1001,150.0,13.0,150.0,18.0,2036.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-04 22:00:00,WIND,121001,1,HCM,1,145,1001,150.0,14.0,150.0,20.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
1994-01-04 23:00:00,WIND,121001,1,HCM,1,145,1001,150.0,16.0,150.0,22.0,2242.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-05 00:00:00,WIND,121001,1,HCM,1,145,1001,150.0,17.0,140.0,23.0,2336.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-05 01:00:00,WIND,121001,1,HCM,1,145,1001,140.0,19.0,140.0,24.0,6.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-05 02:00:00,WIND,121001,1,HCM,1,145,1001,140.0,18.0,130.0,23.0,106.0,9,9,9,9,9,NA,NA,NA,NA,NA,NA
1994-01-05 03:00:00,WIND,121001,1,HCM,1,145,1001,140.0,18.0,150.0,24.0,NA,9,9,9,9,0,NA,NA,NA,NA,NA,NA
